Year;Sumatera Utara;Kepulauan Riau;Aceh;Kepulauan Bangka Belitung;Sumatera Selatan;Lampung;Sumatera Barat;Jambi;Riau;Bali;Nusa Tenggara Timur;Nusa Tenggara Barat;Kalimantan Barat;Kalimantan Tengah;Kalimantan Timur;Kalimantan Utara;Kalimantan Selatan;Banten;Jawa Timur;Jawa Barat;Daerah Khusus Ibukota Jakarta;Jawa Tengah;Daerah Istimewa Yogyakarta;Maluku;Maluku Utara;Papua Barat;Papua;Papua Barat Daya;Papua Selatan;Papua Tengah;Sulawesi Utara;Sulawesi Tengah;Sulawesi Tenggara;Sulawesi Selatan;Gorontalo;Sulawesi Barat
2010;181117;165677;4566;21964;186285;30707;7902;37207;86633;278296;3832;220534;170449;546602;1020889;71338;202170;1544189;1769234;1692006;6429269;59130;4946;2889;246004;17156;329609;;;;226789;138451;13972;441751;786;37349
2011;753702;219737;22456;146050;557323;79498;22930;19473;212339;482085;5492;465076;500698;543657;528125;74312;272053;2171692;1312040;3839360;4824079;174965;2407;11696;129844;33087;1312050;;;;220178;370358;16995;89564;12544;5617
2012;645322;537111;172273;59183;786449;114320;75020;156322;1152855;482038;8724;635790;397535;524738;1922182;91903;272291;2716264;2298776;4210704;4107721;241513;84939;8518;90254;32035;1202433;;;;46652;806531;35723;582579;35315;229
2013;887452;315730;94167;112393;485918;46763;91362;34293;1304946;390856;9852;488164;649955;481565;1320051;61212;260619;3720210;3396254;7124881;2589891;464300;29579;52762;268467;54156;2360000;;;;65706;855028;86418;462776;25701;2519
2014;550835;392115;31133;105044;1056515;156489;112110;51446;1369565;427163;15078;551131;966108;951045;2145665;108323;502492;2034627;1802506;6561946;4509363;463361;64891;13104;98712;153348;1260604;;;;98451;1494163;161797;280928;4094;16232
2015;1246096;640421;21189;82663;645822;257726;57133;107732;653395;495847;69853;699377;1335717;933570;2381442;230920;961206;2541969;2593377;5738714;3619393;850398;89106;82391;203828;258608;897049;;;;87955;1085164;145010;233347;6921;2027
2016;1014654;519078;134505;52737;2793514;85707;79268;61015;869105;450633;58244;439016;630713;408165;1139608;160813;249448;2912062;1941035;5470857;3398222;1030796;19645;102637;438902;514490;1168434;;;;382805;1600338;376107;372467;12682;20633
2017;1514943;1031539;23246;153106;1182941;120602;194425;76835;1061147;886855;138994;132054;568446;641028;1285215;149014;243814;3047470;1566657;5142949;4595001;2372523;36482;211953;228111;84673;1924108;;;;482925;1545556;692983;712788;41330;11389
2018;1227609;831248;71210;46278;1078554;132290;180800;101872;1032883;1002459;100369;251548;491939;678525;587502;67328;129147;2827275;1333380;5573520;4857731;2372703;81342;7962;362793;286861;1132269;;;;295848;672421;672926;617188;40820;24698
2019;379547;1363365;137485;88729;736482;155188;157114;54570;1034039;426024;126831;270725;532320;283546;861001;81670;372948;1868179;866282;5881045;4122998;2723240;14630;33044;1008523;46204;940961;;;;220474;1805039;987662;302614;171307;10135
2020;974763;1649365;51134;48431;1543875;498411;125589;26967;1077984;293252;81256;302076;759264;177639;378027;68429;240793;2143559;1575460;4793707;3613263;1363635;9723;176699;2409007;10585;567671;;;;155690;1778986;1268574;236055;67587;6526
2021;580422;1043686;203284;44725;1259743;173797;66949;50858;1921413;451967;79041;244173;463414;162488;745190;133460;117243;2189967;1849173;5217691;3330568;1465939;21814;13319;2819935;32502;1489074;;;;169080;2718102;1616455;309955;78008;5921
2022;1316127;934041;127634;129697;1226254;247826;95625;39203;2748701;449536;73319;704560;745467;548318;1266222;430529;208064;3410682;3134043;6534450;3744070;2362039;113893;73444;4487465;71831;1260531;;;;105131;7485988;877936;469003;102898;28286
2023;1181284;764071;248634;72452;1478551;220554;120659;45081;2042272;808486;124292;468449;490469;697637;1332711;1272127;327898;4451587;4740978;8283746;4830022;1563664;46008;106309;4998246;28775;8299;92971;86275;968043;203660;7244082;448308;336712;33841;24274
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;