year,Aceh,Bali,Banten,Bengkulu,DIY,DKI_Jakarta,Gorontalo,Jambi,Jawa_Barat,Jawa_Tengah,Jawa_Timur,Kalimantan_Barat,Kalimantan_Selatan,Kalimantan_Tengah,Kalimantan_Timur,Kalimantan_Utara,Kep_Bangka_Belitung,Kepulauan_Riau,Lampung,Maluku,Maluku_Utara,Nusa_Tenggara_Barat,Nusa_Tenggara_Timur,Papua,Papua_Barat,Riau,Sulawesi_Barat,Sulawesi_Selatan,Sulawesi_Tengah,Sulawesi_Tenggara,Sulawesi_Utara,Sumatera_Barat,Sumatera_Selatan,Sumatera_Utara
2010,1.023493628752161,71.52849689661934,145.2385148990338,14.6311493088385,1.41721265507271,669.17595071581,.7691094865809623,12.03001683232194,39.29972899910279,1.825050983308751,47.20792676911719,38.76266127507772,55.75445539312681,247.0967488197808,307.3898236012454,,17.98420006278121,98.68011622457141,4.03501128028805,1.891091394490794,236.9743576405446,48.99769166430381,.8113023815781411,116.3274547263499,22.61901943920612,15.63637801539696,32.19261019927485,54.98597596249105,52.56149030231016,6.27075507953557,99.8856687847596,1.629904749604336,25.00538897674405,13.94986552360447
2011,4.917217204879427,121.9577254543905,199.8019497457897,24.84533918168068,.6907602486945609,497.7725169014948,11.81529419705785,6.181802970778688,87.98908559456513,5.397111032798334,34.9315159831063,113.4795651654104,73.96354665160857,242.7753564062392,164.2034268416992,,116.336574057637,125.348721383825,10.37633622566788,7.461687653837717,122.6821914435628,102.7036535723703,1.156672032132579,441.7582840838892,42.1950967698474,37.20889027432479,4.732870048167563,11.08170955357706,138.6279880088557,7.49974225437272,96.26657035295104,4.687628339402177,73.84147402468635,57.73309250165219
2012,36.54294803817604,120.2894933865735,242.548441825163,17.04035874439462,23.90202702702703,416.5179476779558,32.68518518518518,48.43507902076232,94.33839673791279,7.318403587987515,60.32487469493794,87.05650459921156,71.94187582562749,225.1931330472103,533.9607635206787,,45.998445998446,297.5623268698061,14.58838544990428,5.3125,82.76810265811183,136.8194534108027,1.786080886881544,404.3039677202422,39.65303593556381,196.1047797244429,.1651527663088357,70.61818181818181,294.4505293902884,15.21739130434783,20.00856898029135,15,101.9445164635727,48.12798329355608
2013,19.58012887133652,96.37573964497041,324.8515543136569,12.29327453142227,8.233657858136301,259.889669007021,23.40619307832423,10.43822276323798,157.1403365607287,13.95803270803271,88.53061543674895,140.0560224089636,67.618059159315,201.9287211740042,356.832859726169,,85.47528517110267,169.6399785061795,5.900151285930408,32.43243243243243,240.8071748878924,103.6298025896837,1.998385143318531,778.3641160949868,65.45893719806764,216.293717884966,2.025931928687196,55.47830256533206,306.8916008614501,36.04505632040051,27.83898305084746,18.04184761152784,62.06412057734065,65.30537159676233
2014,6.337884654575097,104.0438489646772,173.8231524989321,10.46070460704607,17.84437723398405,447.5831265508685,3.673835125448028,15.37081339712919,142.5592005213991,13.82334516600543,46.68479668479669,204.8558100084818,128.0907468773898,389.7540983606557,567.7581863979849,,78.125,204.5383411580595,19.49912783453775,7.905853952926976,86.65496049165935,115.4377880184332,2.997816160412944,407.8291814946619,180.4705882352941,221.3154492566257,12.95707472178061,33.31356736242884,527.7993641822678,66.09477124183006,41.22329283619607,21.84333593141076,133.0269453538152,40.00871649596862
2015,4.238304678128748,119.383578136287,212.6306984525303,10.98666666666667,24.21853764609948,355.6101395166045,6.090026478375994,31.65784832451499,122.8580603725112,25.17913187659146,66.75761943986821,278.8517745302714,240.9022556390977,374.188376753507,694.8805158001135,359.6931781361382,60.23306627822287,324.5818550430816,31.7481828261673,48.87307236061685,175.3872633390706,144.6236559139785,13.65234375,284.8523340743093,296.559633027523,102.9949558638083,1.5600624024961,27.38262910798122,377.1984706291276,58,36.48424543946932,10.98922247882987,80.20367610531544,89.40307074185678
2016,26.39221380636553,107.2831599247637,238.6360842736681,29.24191516169677,5.26754279878524,330.6413948781817,11.03580118178658,17.63566451762121,115.4700143944415,30.30062523699922,49.67332304550445,129.7282843449822,61.49673283195661,160.0658771861031,325.4884039757797,241.3327330031518,37.59452132971894,255.941228675673,10.4447234037367,59.80763625765083,370.0986592461421,89.66137004207344,11.18477947535313,364.282596495604,575.8898589657489,133.6871250576834,15.76731725985458,43.28174381855364,547.7290618475546,147.4323794590357,157.0848208789856,15.07747884779922,342.3029322746266,71.9497408334456
2017,4.470565565083342,208.8543506417049,244.8145113349721,71.70552654707129,9.701770240816543,442.9257195735575,35.35353535353535,21.84921763869132,107.0598864223025,69.25409905452464,39.87224187514315,115.2356817029904,59.17762998203796,246.0369247303573,359.456284611512,215.5983215164231,106.9955971766021,495.2705622509243,14.54834973943254,121.5108614661546,188.6215165798396,26.65671159899911,26.28941047415505,589.2747764302339,92.52785667467774,159.3745775695039,8.564988730277987,82.02248483941867,521.0531638741867,266.2926529357516,196.2210483543275,36.53105327445269,143.0869722995041,106.2185793116021
2018,13.48152916895461,233.5632076790457,222.8027455337794,69.57673305149494,21.3784217307844,464.0700829225419,34.41585828764234,28.54101896199199,114.4839032366069,68.79225764551705,33.75619289687071,98.34656216886259,30.88913859468764,255.0560108262537,161.0118395088796,93.94193188163037,31.71450099321871,389.0943131289492,15.80550743683173,4.510091329349419,294.3371734544864,50.18249995013663,18.69124080796798,340.7975921745673,306.0266666666666,151.5649532641712,18.22071407494836,70.36023711810306,223.3590220568695,253.5704864905603,119.1032039929158,33.59283551030267,128.8603753748372,85.15892725834871
2019,25.59806385553383,98.22684405912058,144.5158695164497,72.69806205442315,3.799214135158344,390.5169637613897,142.4413770164643,15.06373117033604,119.2496659346631,78.4372461705964,21.82192822920707,105.0087786786609,87.86315119813388,104.4237356808722,231.3645402267964,110.078146052277,59.5781837721655,622.6423711010641,18.37186453117416,18.30384380719951,803.0737378563466,53.38829283685705,23.23961731608079,278.4600361021513,48.14506044185077,148.3138976146421,7.317249873215968,34.18745480838756,591.0281597904387,365.1791326209931,87.95372955723974,28.87230757921047,86.9467694523475,26.06008583690987
2020,9.68738743862443,67.93440496595174,180.0648488819448,95.63833490824092,2.643988333742197,342.1005292508119,57.69394896304514,7.609492136858125,99.30149023702101,37.34253477927484,38.74272421229685,140.2371453900709,59.11233307148469,66.51685393258425,100.3717472118959,97.463664861784,33.24860891667239,798.8956698634119,55.32982526255024,95.57033912055816,1877.776911684465,56.78464690513336,15.26588553402433,131.909752073797,9.346618463980249,168.5929215995996,4.580045095828636,26.02082988923789,595.8401714840741,483.2946016991123,59.38441588161256,22.69401029903334,182.3346009400761,65.86753517034474
2021,38.11612951609577,103.6055653609004,181.5694565352568,11.6582222440848,5.871421261008915,313.9202804980348,66.04572396274344,14.19765139047725,106.9586572206369,39.89657753282983,45.23616153116041,84.70424800760399,28.42866152428079,60.13618533047147,195.6829998424453,187.0795964125561,30.34211240836275,492.729676140119,19.1371754498007,7.140556211747021,2170.489532019705,45.30612244897959,14.66302875067283,341.8974147035864,28.09474412171508,295.891339164716,4.106347438752785,33.91870452431752,899.4672226082927,607.8895908543923,64.08701584173424,12.00673810974517,147.317826193734,38.85861196288212
2022,23.5951108563398,101.8096985345745,278.3790401567091,25.33857579729139,30.27725351551078,350.5711610486891,86.27483860149242,10.79562666960425,132.2617992219537,63.78198550458517,76.16038882138518,134.5327895477677,49.75969010784055,200.0291853635402,328.0480853930255,591.5086562242375,86.77907132343101,428.4796770345903,27.00346533574526,39.00728065047564,3401.424998105056,128.7246286789557,13.40943599875601,285.2713529172136,60.67776557086115,415.5630140299952,19.40216646098999,50.83569988510482,2441.538110302991,324.9435540585557,39.51870652378266,16.94855157252774,141.6541527087905,87.07129247380121
